,file,page,question,score,target,len_question,qst_words,qst_clean,len_qst_cln,year,flag_what_meant,qst_tokenised,tokens_without_punctuationa,tokens_lemm,tokens_lst
11,Question paper - AS Level Paper 1 - June 2019.pdf,3,What is meant by business objective?,2,entrepreneurs and leaders,36,"['What', 'is', 'meant', 'by', 'business', 'objective?']",what meant business objective?,30,2019,1,"['what', 'meant', 'business', 'objective', '?']","['what', 'meant', 'business', 'objective']","['what', 'mean', 'business', 'objective']",what meant business objective
12,Question paper - AS Level Paper 1 - June 2019.pdf,4,Explain how The Good Hotel’s social objectives could lead to an increase in added value.,4,entrepreneurs and leaders,88,"['Explain', 'how', 'The', 'Good', 'Hotel’s', 'social', 'objectives', 'could', 'lead', 'to', 'an', 'increase', 'in', 'added', 'value.']",explain good hotel’s social objectives could lead increase added value.,71,2019,0,"['explain', 'good', 'hotel', '’', 's', 'social', 'objectives', 'could', 'lead', 'increase', 'added', 'value', '.']","['explain', 'good', 'hotel', 's', 'social', 'objectives', 'could', 'lead', 'increase', 'added', 'value']","['explain', 'good', 'hotel', 's', 'social', 'objective', 'could', 'lead', 'increase', 'add', 'value']",explain good hotel s social objectives could lead increase added value
13,Question paper - AS Level Paper 1 - June 2019.pdf,5,Explain how The Good Hotel in Guatemala could benefit from operating in a niche market.,4,meeting customer needs,87,"['Explain', 'how', 'The', 'Good', 'Hotel', 'in', 'Guatemala', 'could', 'benefit', 'from', 'operating', 'in', 'a', 'niche', 'market.']",explain good hotel guatemala could benefit operating niche market.,66,2019,0,"['explain', 'good', 'hotel', 'guatemala', 'could', 'benefit', 'operating', 'niche', 'market', '.']","['explain', 'good', 'hotel', 'guatemala', 'could', 'benefit', 'operating', 'niche', 'market']","['explain', 'good', 'hotel', 'guatemala', 'could', 'benefit', 'operate', 'niche', 'market']",explain good hotel guatemala could benefit operating niche market
14,Question paper - AS Level Paper 1 - June 2019.pdf,6,Assess two methods The Good Hotel could use to develop customer loyalty.,8,marketing mix and strategy,72,"['Assess', 'two', 'methods', 'The', 'Good', 'Hotel', 'could', 'use', 'to', 'develop', 'customer', 'loyalty.']",assess two methods good hotel could use develop customer loyalty.,65,2019,0,"['assess', 'two', 'methods', 'good', 'hotel', 'could', 'use', 'develop', 'customer', 'loyalty', '.']","['assess', 'two', 'methods', 'good', 'hotel', 'could', 'use', 'develop', 'customer', 'loyalty']","['assess', 'two', 'method', 'good', 'hotel', 'could', 'use', 'develop', 'customer', 'loyalty']",assess two methods good hotel could use develop customer loyalty
15,Question paper - AS Level Paper 1 - June 2019.pdf,11,What is meant by span of control?,2,managing people,33,"['What', 'is', 'meant', 'by', 'span', 'of', 'control?']",what meant span control?,24,2019,1,"['what', 'meant', 'span', 'control', '?']","['what', 'meant', 'span', 'control']","['what', 'mean', 'span', 'control']",what meant span control
16,Question paper - AS Level Paper 1 - June 2019.pdf,11,What is meant by consultation?,2,meeting customer needs,30,"['What', 'is', 'meant', 'by', 'consultation?']",what meant consultation?,24,2019,1,"['what', 'meant', 'consultation', '?']","['what', 'meant', 'consultation']","['what', 'mean', 'consultation']",what meant consultation
17,Question paper - AS Level Paper 1 - June 2019.pdf,12,"Calculate, to 2 decimal places, the percentage fall in the price of an Omega Seamaster watch.",4,the market,93,"['Calculate,', 'to', '2', 'decimal', 'places,', 'the', 'percentage', 'fall', 'in', 'the', 'price', 'of', 'an', 'Omega', 'Seamaster', 'watch.']","calculate, 2 decimal places, percentage fall price omega seamaster watch.",73,2019,0,"['calculate', ',', '2', 'decimal', 'places', ',', 'percentage', 'fall', 'price', 'omega', 'seamaster', 'watch', '.']","['calculate', '2', 'decimal', 'places', 'percentage', 'fall', 'price', 'omega', 'seamaster', 'watch']","['calculate', '2', 'decimal', 'place', 'percentage', 'fall', 'price', 'omega', 'seamaster', 'watch']",calculate 2 decimal places percentage fall price omega seamaster watch
18,Question paper - AS Level Paper 1 - June 2019.pdf,13,Explain how Beaverbrooks could use the Boston matrix.,4,marketing mix and strategy,53,"['Explain', 'how', 'Beaverbrooks', 'could', 'use', 'the', 'Boston', 'matrix.']",explain beaverbrooks could use boston matrix.,45,2019,0,"['explain', 'beaverbrooks', 'could', 'use', 'boston', 'matrix', '.']","['explain', 'beaverbrooks', 'could', 'use', 'boston', 'matrix']","['explain', 'beaverbrook', 'could', 'use', 'boston', 'matrix']",explain beaverbrooks could use boston matrix
19,Question paper - AS Level Paper 1 - June 2019.pdf,14,Assess two factors that could affect the supply of Beaverbrooks’ silver jewellery.,8,the market,82,"['Assess', 'two', 'factors', 'that', 'could', 'affect', 'the', 'supply', 'of', 'Beaverbrooks’', 'silver', 'jewellery.']",assess two factors could affect supply beaverbrooks’ silver jewellery.,70,2019,0,"['assess', 'two', 'factors', 'could', 'affect', 'supply', 'beaverbrooks', '’', 'silver', 'jewellery', '.']","['assess', 'two', 'factors', 'could', 'affect', 'supply', 'beaverbrooks', 'silver', 'jewellery']","['assess', 'two', 'factor', 'could', 'affect', 'supply', 'beaverbrook', 'silver', 'jewellery']",assess two factors could affect supply beaverbrooks silver jewellery
20,Question paper - Unit 1 (WBS11) - October 2020.pdf,2,Define the term ‘market share’ . ,2,meeting customer needs,33,"['Define', 'the', 'term', '‘market', 'share’', '.']",define term ‘market share’ .,28,2020,0,"['define', 'term', '‘', 'market', 'share', '’', '.']","['define', 'term', 'market', 'share']","['define', 'term', 'market', 'share']",define term market share
21,Question paper - Unit 1 (WBS11) - October 2020.pdf,2,Calculate the price elasticity of demand (PED) for the television. You are advised to show your working.,4,the market,104,"['Calculate', 'the', 'price', 'elasticity', 'of', 'demand', '(PED)', 'for', 'the', 'television.', 'You', 'are', 'advised', 'to', 'show', 'your', 'working.']",calculate price elasticity demand (ped) television. you advised show working.,77,2020,0,"['calculate', 'price', 'elasticity', 'demand', '(', 'ped', ')', 'television', '.', 'you', 'advised', 'show', 'working', '.']","['calculate', 'price', 'elasticity', 'demand', 'ped', 'television', 'you', 'advised', 'show', 'working']","['calculate', 'price', 'elasticity', 'demand', 'ped', 'television', 'you', 'advise', 'show', 'work']",calculate price elasticity demand ped television you advised show working
22,Question paper - Unit 1 (WBS11) - October 2020.pdf,3,Analyse two methods that Samsung might have used to build its brand.,6,marketing mix and strategy,68,"['Analyse', 'two', 'methods', 'that', 'Samsung', 'might', 'have', 'used', 'to', 'build', 'its', 'brand.']",analyse two methods samsung might used build brand.,51,2020,0,"['analyse', 'two', 'methods', 'samsung', 'might', 'used', 'build', 'brand', '.']","['analyse', 'two', 'methods', 'samsung', 'might', 'used', 'build', 'brand']","['analyse', 'two', 'method', 'samsung', 'might', 'use', 'build', 'brand']",analyse two methods samsung might used build brand
23,Question paper - Unit 1 (WBS11) - October 2020.pdf,4,"Discuss the benefits, for a business such as Samsung, of using secondary research when developing new products.",8,meeting customer needs,111,"['Discuss', 'the', 'benefits,', 'for', 'a', 'business', 'such', 'as', 'Samsung,', 'of', 'using', 'secondary', 'research', 'when', 'developing', 'new', 'products.']","discuss benefits, business samsung, using secondary research developing new products.",85,2020,0,"['discuss', 'benefits', ',', 'business', 'samsung', ',', 'using', 'secondary', 'research', 'developing', 'new', 'products', '.']","['discuss', 'benefits', 'business', 'samsung', 'using', 'secondary', 'research', 'developing', 'new', 'products']","['discus', 'benefit', 'business', 'samsung', 'use', 'secondary', 'research', 'develop', 'new', 'product']",discuss benefits business samsung using secondary research developing new products
24,Question paper - Unit 1 (WBS11) - October 2020.pdf,5,"Assess the advantages for a business, such as Samsung, of using a price skimming strategy for its new products.",10,marketing mix and strategy,111,"['Assess', 'the', 'advantages', 'for', 'a', 'business,', 'such', 'as', 'Samsung,', 'of', 'using', 'a', 'price', 'skimming', 'strategy', 'for', 'its', 'new', 'products.']","assess advantages business, samsung, using price skimming strategy new products.",80,2020,0,"['assess', 'advantages', 'business', ',', 'samsung', ',', 'using', 'price', 'skimming', 'strategy', 'new', 'products', '.']","['assess', 'advantages', 'business', 'samsung', 'using', 'price', 'skimming', 'strategy', 'new', 'products']","['assess', 'advantage', 'business', 'samsung', 'use', 'price', 'skim', 'strategy', 'new', 'product']",assess advantages business samsung using price skimming strategy new products
25,Question paper - Unit 1 (WBS11) - October 2020.pdf,7,Define the term ‘product differentiation’ . ,2,meeting customer needs,44,"['Define', 'the', 'term', '‘product', 'differentiation’', '.']",define term ‘product differentiation’ .,39,2020,0,"['define', 'term', '‘', 'product', 'differentiation', '’', '.']","['define', 'term', 'product', 'differentiation']","['define', 'term', 'product', 'differentiation']",define term product differentiation
26,Question paper - Unit 1 (WBS11) - October 2020.pdf,7,Construct a supply and demand diagram to show the impact of increased advertising by Lehman’s on the handmade tools market.,4,the market,123,"['Construct', 'a', 'supply', 'and', 'demand', 'diagram', 'to', 'show', 'the', 'impact', 'of', 'increased', 'advertising', 'by', 'Lehman’s', 'on', 'the', 'handmade', 'tools', 'market.']",construct supply demand diagram show impact increased advertising lehman’s handmade tools market.,97,2020,0,"['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'increased', 'advertising', 'lehman', '’', 's', 'handmade', 'tools', 'market', '.']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'increased', 'advertising', 'lehman', 's', 'handmade', 'tools', 'market']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'increase', 'advertise', 'lehman', 's', 'handmade', 'tool', 'market']",construct supply demand diagram show impact increased advertising lehman s handmade tools market
27,Question paper - Unit 1 (WBS11) - October 2020.pdf,8,Analyse two advantages for Lehman’s of providing benefits to its employees.,6,managing people,75,"['Analyse', 'two', 'advantages', 'for', 'Lehman’s', 'of', 'providing', 'benefits', 'to', 'its', 'employees.']",analyse two advantages lehman’s providing benefits employees.,61,2020,0,"['analyse', 'two', 'advantages', 'lehman', '’', 's', 'providing', 'benefits', 'employees', '.']","['analyse', 'two', 'advantages', 'lehman', 's', 'providing', 'benefits', 'employees']","['analyse', 'two', 'advantage', 'lehman', 's', 'provide', 'benefit', 'employee']",analyse two advantages lehman s providing benefits employees
28,Question paper - Unit 1 (WBS11) - October 2020.pdf,9,Discuss the importance of function to Lehman’s when considering the design mix for new products.,8,marketing mix and strategy,96,"['Discuss', 'the', 'importance', 'of', 'function', 'to', 'Lehman’s', 'when', 'considering', 'the', 'design', 'mix', 'for', 'new', 'products.']",discuss importance function lehman’s considering design mix new products.,73,2020,0,"['discuss', 'importance', 'function', 'lehman', '’', 's', 'considering', 'design', 'mix', 'new', 'products', '.']","['discuss', 'importance', 'function', 'lehman', 's', 'considering', 'design', 'mix', 'new', 'products']","['discus', 'importance', 'function', 'lehman', 's', 'consider', 'design', 'mix', 'new', 'product']",discuss importance function lehman s considering design mix new products
29,Question paper - Unit 1 (WBS11) - October 2020.pdf,10,Assess the benefits of operating in a niche market for a business such as Lehman’s.,10,meeting customer needs,83,"['Assess', 'the', 'benefits', 'of', 'operating', 'in', 'a', 'niche', 'market', 'for', 'a', 'business', 'such', 'as', 'Lehman’s.']",assess benefits operating niche market business lehman’s.,57,2020,0,"['assess', 'benefits', 'operating', 'niche', 'market', 'business', 'lehman', '’', 's', '.']","['assess', 'benefits', 'operating', 'niche', 'market', 'business', 'lehman', 's']","['assess', 'benefit', 'operate', 'niche', 'market', 'business', 'lehman', 's']",assess benefits operating niche market business lehman s
30,Question paper - Unit 1 (WBS11) - October 2021.pdf,2,Define the term ‘niche market’ .,2,meeting customer needs,32,"['Define', 'the', 'term', '‘niche', 'market’', '.']",define term ‘niche market’ .,28,2021,0,"['define', 'term', '‘', 'niche', 'market', '’', '.']","['define', 'term', 'niche', 'market']","['define', 'term', 'niche', 'market']",define term niche market
31,Question paper - Unit 1 (WBS11) - October 2021.pdf,2,Construct a supply and demand diagram to show the impact of a decrease in the price of milk and cream on the ice cream market.,4,the market,126,"['Construct', 'a', 'supply', 'and', 'demand', 'diagram', 'to', 'show', 'the', 'impact', 'of', 'a', 'decrease', 'in', 'the', 'price', 'of', 'milk', 'and', 'cream', 'on', 'the', 'ice', 'cream', 'market.']",construct supply demand diagram show impact decrease price milk cream ice cream market.,87,2021,0,"['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'decrease', 'price', 'milk', 'cream', 'ice', 'cream', 'market', '.']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'decrease', 'price', 'milk', 'cream', 'ice', 'cream', 'market']","['construct', 'supply', 'demand', 'diagram', 'show', 'impact', 'decrease', 'price', 'milk', 'cream', 'ice', 'cream', 'market']",construct supply demand diagram show impact decrease price milk cream ice cream market
32,Question paper - Unit 1 (WBS11) - October 2021.pdf,3,Analyse two factors that might influence the price elasticity of demand (PED) for ice cream.,6,the market,92,"['Analyse', 'two', 'factors', 'that', 'might', 'influence', 'the', 'price', 'elasticity', 'of', 'demand', '(PED)', 'for', 'ice', 'cream.']",analyse two factors might influence price elasticity demand (ped) ice cream.,76,2021,0,"['analyse', 'two', 'factors', 'might', 'influence', 'price', 'elasticity', 'demand', '(', 'ped', ')', 'ice', 'cream', '.']","['analyse', 'two', 'factors', 'might', 'influence', 'price', 'elasticity', 'demand', 'ped', 'ice', 'cream']","['analyse', 'two', 'factor', 'might', 'influence', 'price', 'elasticity', 'demand', 'ped', 'ice', 'cream']",analyse two factors might influence price elasticity demand ped ice cream
33,Question paper - Unit 1 (WBS11) - October 2021.pdf,4,Discuss the importance of product differentiation to the success of Oppo.,8,meeting customer needs,73,"['Discuss', 'the', 'importance', 'of', 'product', 'differentiation', 'to', 'the', 'success', 'of', 'Oppo.']",discuss importance product differentiation success oppo.,56,2021,0,"['discuss', 'importance', 'product', 'differentiation', 'success', 'oppo', '.']","['discuss', 'importance', 'product', 'differentiation', 'success', 'oppo']","['discus', 'importance', 'product', 'differentiation', 'success', 'oppo']",discuss importance product differentiation success oppo
34,Question paper - Unit 1 (WBS11) - October 2021.pdf,5,Assess the advantages to Oppo of using these methods when developing its brand.,10,marketing mix and strategy,79,"['Assess', 'the', 'advantages', 'to', 'Oppo', 'of', 'using', 'these', 'methods', 'when', 'developing', 'its', 'brand.']",assess advantages oppo using methods developing brand.,54,2021,0,"['assess', 'advantages', 'oppo', 'using', 'methods', 'developing', 'brand', '.']","['assess', 'advantages', 'oppo', 'using', 'methods', 'developing', 'brand']","['assess', 'advantage', 'oppo', 'use', 'method', 'develop', 'brand']",assess advantages oppo using methods developing brand
35,Question paper - Unit 1 (WBS11) - October 2021.pdf,7,Define the term ‘social media’ . ,2,marketing mix and strategy,33,"['Define', 'the', 'term', '‘social', 'media’', '.']",define term ‘social media’ .,28,2021,0,"['define', 'term', '‘', 'social', 'media', '’', '.']","['define', 'term', 'social', 'media']","['define', 'term', 'social', 'medium']",define term social media
36,Question paper - Unit 1 (WBS11) - October 2021.pdf,8,"Using the above data, calculate the total amount of redundancy payments made by Deutsche Bank. You are advised to show your workings.",4,managing people,133,"['Using', 'the', 'above', 'data,', 'calculate', 'the', 'total', 'amount', 'of', 'redundancy', 'payments', 'made', 'by', 'Deutsche', 'Bank.', 'You', 'are', 'advised', 'to', 'show', 'your', 'workings.']","using data, calculate total amount redundancy payments made deutsche bank. you advised show workings.",101,2021,0,"['using', 'data', ',', 'calculate', 'total', 'amount', 'redundancy', 'payments', 'made', 'deutsche', 'bank', '.', 'you', 'advised', 'show', 'workings', '.']","['using', 'data', 'calculate', 'total', 'amount', 'redundancy', 'payments', 'made', 'deutsche', 'bank', 'you', 'advised', 'show', 'workings']","['use', 'data', 'calculate', 'total', 'amount', 'redundancy', 'payment', 'make', 'deutsche', 'bank', 'you', 'advise', 'show', 'work']",using data calculate total amount redundancy payments made deutsche bank you advised show workings
37,Question paper - Unit 1 (WBS11) - October 2021.pdf,9,Analyse two possible benefits for Deutsche Bank of using collective bargaining to negotiate redundancy payments with its employees.,6,managing people,131,"['Analyse', 'two', 'possible', 'benefits', 'for', 'Deutsche', 'Bank', 'of', 'using', 'collective', 'bargaining', 'to', 'negotiate', 'redundancy', 'payments', 'with', 'its', 'employees.']",analyse two possible benefits deutsche bank using collective bargaining negotiate redundancy payments employees.,112,2021,0,"['analyse', 'two', 'possible', 'benefits', 'deutsche', 'bank', 'using', 'collective', 'bargaining', 'negotiate', 'redundancy', 'payments', 'employees', '.']","['analyse', 'two', 'possible', 'benefits', 'deutsche', 'bank', 'using', 'collective', 'bargaining', 'negotiate', 'redundancy', 'payments', 'employees']","['analyse', 'two', 'possible', 'benefit', 'deutsche', 'bank', 'use', 'collective', 'bargain', 'negotiate', 'redundancy', 'payment', 'employee']",analyse two possible benefits deutsche bank using collective bargaining negotiate redundancy payments employees
38,Question paper - Unit 1 (WBS11) - October 2021.pdf,10,Discuss the advantages for Deutsche Bank of using television advertising in its marketing campaign.,8,marketing mix and strategy,99,"['Discuss', 'the', 'advantages', 'for', 'Deutsche', 'Bank', 'of', 'using', 'television', 'advertising', 'in', 'its', 'marketing', 'campaign.']",discuss advantages deutsche bank using television advertising marketing campaign.,81,2021,0,"['discuss', 'advantages', 'deutsche', 'bank', 'using', 'television', 'advertising', 'marketing', 'campaign', '.']","['discuss', 'advantages', 'deutsche', 'bank', 'using', 'television', 'advertising', 'marketing', 'campaign']","['discus', 'advantage', 'deutsche', 'bank', 'use', 'television', 'advertise', 'market', 'campaign']",discuss advantages deutsche bank using television advertising marketing campaign
39,Question paper - Unit 1 (WBS11) - October 2021.pdf,11,Assess the impact on Deutsche Bank of the changes made to its organisational structure.,10,managing people,87,"['Assess', 'the', 'impact', 'on', 'Deutsche', 'Bank', 'of', 'the', 'changes', 'made', 'to', 'its', 'organisational', 'structure.']",assess impact deutsche bank changes made organisational structure.,66,2021,0,"['assess', 'impact', 'deutsche', 'bank', 'changes', 'made', 'organisational', 'structure', '.']","['assess', 'impact', 'deutsche', 'bank', 'changes', 'made', 'organisational', 'structure']","['assess', 'impact', 'deutsche', 'bank', 'change', 'make', 'organisational', 'structure']",assess impact deutsche bank changes made organisational structure
40,Question paper - AS Level Paper 1 - June 2018.pdf,3,What is meant by market growth?,2,meeting customer needs,31,"['What', 'is', 'meant', 'by', 'market', 'growth?']",what meant market growth?,25,2018,1,"['what', 'meant', 'market', 'growth', '?']","['what', 'meant', 'market', 'growth']","['what', 'mean', 'market', 'growth']",what meant market growth
41,Question paper - AS Level Paper 1 - June 2018.pdf,3,What is meant by on-the-job training?,2,managing people,37,"['What', 'is', 'meant', 'by', 'on-the-job', 'training?']",what meant on-the-job training?,31,2018,1,"['what', 'meant', 'on-the-job', 'training', '?']","['what', 'meant', 'on-the-job', 'training']","['what', 'mean', 'on-the-job', 'train']",what meant on-the-job training
42,Question paper - AS Level Paper 1 - June 2018.pdf,4,Explain how PureGym has gained a competitive advantage in the fitness market.,4,meeting customer needs,77,"['Explain', 'how', 'PureGym', 'has', 'gained', 'a', 'competitive', 'advantage', 'in', 'the', 'fitness', 'market.']",explain puregym gained competitive advantage fitness market.,60,2018,0,"['explain', 'puregym', 'gained', 'competitive', 'advantage', 'fitness', 'market', '.']","['explain', 'puregym', 'gained', 'competitive', 'advantage', 'fitness', 'market']","['explain', 'puregym', 'gain', 'competitive', 'advantage', 'fitness', 'market']",explain puregym gained competitive advantage fitness market
43,Question paper - AS Level Paper 1 - June 2018.pdf,5,Explain how the growth of the fitness market from 2015 to 2016 could have affected PureGym.,4,meeting customer needs,91,"['Explain', 'how', 'the', 'growth', 'of', 'the', 'fitness', 'market', 'from', '2015', 'to', '2016', 'could', 'have', 'affected', 'PureGym.']",explain growth fitness market 2015 2016 could affected puregym.,63,2018,0,"['explain', 'growth', 'fitness', 'market', '2015', '2016', 'could', 'affected', 'puregym', '.']","['explain', 'growth', 'fitness', 'market', '2015', '2016', 'could', 'affected', 'puregym']","['explain', 'growth', 'fitness', 'market', '2015', '2016', 'could', 'affect', 'puregym']",explain growth fitness market 2015 2016 could affected puregym
44,Question paper - AS Level Paper 1 - June 2018.pdf,6,Assess two likely benefits f or PureGym of its managers using a paternalistic leadership style.,8,managing people,95,"['Assess', 'two', 'likely', 'benefits', 'f', 'or', 'PureGym', 'of', 'its', 'managers', 'using', 'a', 'paternalistic', 'leadership', 'style.']",assess two likely benefits f puregym managers using paternalistic leadership style.,83,2018,0,"['assess', 'two', 'likely', 'benefits', 'f', 'puregym', 'managers', 'using', 'paternalistic', 'leadership', 'style', '.']","['assess', 'two', 'likely', 'benefits', 'f', 'puregym', 'managers', 'using', 'paternalistic', 'leadership', 'style']","['assess', 'two', 'likely', 'benefit', 'f', 'puregym', 'manager', 'use', 'paternalistic', 'leadership', 'style']",assess two likely benefits f puregym managers using paternalistic leadership style
